viina_version,event_id_1pd,date,n_reports,event_ids,sources,geonameid,feature_code,asciiname,ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,longitude,latitude,GEO_PRECISION,t_mil_b,a_rus_b,a_ukr_b,a_rus_init_b,a_ukr_init_b,a_civ_b,a_other_b,t_aad_b,t_airstrike_b,t_airalert_b,t_uav_b,t_armor_b,t_arrest_b,t_artillery_b,t_control_b,t_firefight_b,t_ied_b,t_raid_b,t_occupy_b,t_property_b,t_cyber_b,t_hospital_b,t_milcas_b,t_civcas_b,t_retreat_b,t_loc_b,t_san_b
bert_20250404023629,218704,20230101,1,106874,liveuamap,706623,PPL,Katerynivka,Kharkiv,1191,Velykoburluts'kyi,39272,37.47986,50.01568,ADM3,1,0,0,,,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,271034,20230101,1,106875,liveuamap,712260,PPLA2,Beryslav,Kherson,1195,Beryslavs'kyi,4444,33.42234,46.84745,ADM2,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,31663,20230101,1,106876,liveuamap,690230,PPL,Velyka Pysarivka,Sumy,2356,Velykopysarivs'kyi,39277,35.474,50.42219,ADM3,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,87458,20230101,1,106877,liveuamap,697866,PPL,Pavlivka,Donets'k,655,Mar‹ns'kyi,21886,37.218038,47.754412,STREET,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,301343,20230101,1,106878,liveuamap,805500,PPL,Voronyne,Sumy,2356,Bilopils'kyi,4621,34.123755,51.106236,ADM1,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,46267,20230101,1,106879,liveuamap,692838,PPL,Starytsia,Kharkiv,1191,Vovchans'kyi,39837,36.785535,50.243898,STREET,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,28474,20230101,1,106880,liveuamap,689304,PPLA2,Vovchansk,Kharkiv,1191,Vovchans'kyi,39837,36.936802,50.294007,ADM3,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,270218,20230101,1,106881,liveuamap,711980,PPL,Bochkove,Kharkiv,1191,Vovchans'kyi,39837,37.141501,50.324497,STREET,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,213053,20230101,2,"106882, 106886",liveuamap,706483,PPLA,Kharkiv,Kharkiv,1191,Kharkivs'ka,17850,36.231202,49.992167,ADM3,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,251412,20230101,1,106884,liveuamap,710052,PPL,Dibrova,Donets'k,655,Krasnolymans'kyi,18941,37.86953,48.90986,ADM3,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,171848,20230101,1,106885,liveuamap,704204,PPL,Lyman,Donets'k,655,Krasnolymans'kyi,18941,37.822451,48.964092,ADM3,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,84572,20230101,1,106887,liveuamap,697075,PPL,Ploshchanka,Luhans'k,1405,Kremins'kyi,18973,38.086933,49.206173,ADM3,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,253409,20230101,2,"106888, 107104",liveuamap,710547,PPL,Chervonopopivka,Luhans'k,1405,Kremins'kyi,18973,38.159328,49.129178,ADM3,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,86554,20230101,2,"106889, 107102",liveuamap,697596,PPL,Nevske,Luhans'k,1405,Kremins'kyi,18973,37.975102,49.16694,ADM3,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,139326,20230101,3,"106890, 106927, 107103",liveuamap,702658,PPLA,Luhansk,Luhans'k,1405,Luhans'ka,20910,39.307708,48.573896,ADM3,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,37155,20230101,2,"106891, 107105",liveuamap,691358,PPL,Torske,Donets'k,655,Krasnolymans'kyi,18941,37.965732,49.009367,STREET,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,69225,20230101,6,"106892, 106902, 106907, 106911, 106931, 107106",liveuamap,695094,PPLX,Ruttschenkowo,Donets'k,655,Donets'ka,10139,37.675289,47.955082,ADM1,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,17991,20230101,1,106893,liveuamap,688228,PPL,Dibrovy,Kirovohrad,1222,Oleksandriis'kyi,26476,33.06403,48.787261,ADM3,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,296220,20230101,1,106895,liveuamap,713176,PPL,Zalizne,Donets'k,655,Dzerzhyns'ka,10511,37.88498,48.36674,ADM3,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,272796,20230101,1,106896,liveuamap,712412,PPL,Berestove,Donets'k,655,Artemivs'kyi,2372,38.25243,48.754852,ADM3,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,275739,20230101,2,"106897, 106926",liveuamap,712588,PPL,Bilohorivka,Luhans'k,1405,Popasnians'kyi,28982,38.248486,48.927134,ADM3,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,219832,20230101,2,"106898, 106928",liveuamap,706757,PPL,Soledar,Donets'k,655,Artemivs'kyi,2372,38.066002,48.695657,ADM3,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,219055,20230101,1,106899,liveuamap,706702,PPL,Karpovka,Donets'k,655,Artemivs'kyi,2372,38.099815,48.657297,ADM3,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,292054,20230101,1,106900,liveuamap,713174,PPLA2,Bakhmut,Donets'k,655,Artemivs'ka,2371,38.001988,48.589471,ADM3,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,296516,20230101,2,"106901, 106903",liveuamap,713176,PPL,Zalizne,Donets'k,655,Dzerzhyns'ka,10511,37.888585,48.371684,STREET,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,284773,20230101,1,106904,liveuamap,713122,PPLA2,Avdiyivka,Donets'k,655,Iasynuvats'ka,14831,37.74471,48.14032,ADM2,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,129204,20230101,2,"106905, 106930",liveuamap,701845,PPLA2,Mar'yinka,Donets'k,655,Mar‹ns'kyi,21886,37.503918,47.941527,ADM3,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,103110,20230101,1,106906,liveuamap,699458,PPL,Novomykhailivka,Donets'k,655,Mar‹ns'kyi,21886,37.482978,47.853411,ADM3,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,286139,20230101,2,"106908, 106929",liveuamap,713122,PPLA2,Avdiyivka,Donets'k,655,Iasynuvats'ka,14831,37.737003,48.150246,ADM3,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,32161,20230101,1,106909,liveuamap,690372,PPLX,Vasil'yevka,Donets'k,655,Volnovas'kyi,39781,37.29807,47.74775,ADM3,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,109792,20230101,1,106910,liveuamap,700285,PPL,Neskuchne,Donets'k,655,Velykonovosilkivs'kyi,39275,36.808819,47.816661,STREET,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,101949,20230101,1,106912,liveuamap,699265,PPL,Novosilka,Kherson,1195,Velykooleksandrivs'kyi,39276,33.18523,46.96104,ADM3,1,1,0,,,0,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,91722,20230101,1,106913,liveuamap,698577,PPL,Olhivske,Zaporizhzhya,2730,Huliaipil's'kyi,14713,36.53274,47.73735,ADM3,1,1,0,,,0,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,235034,20230101,1,106914,liveuamap,709671,PPL,Dorozhnianka,Zaporizhzhya,2730,Huliaipil's'kyi,14713,36.260038,47.586781,ADM3,1,1,0,,,0,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
