viina_version,event_id_1pd,date,n_reports,event_ids,sources,geonameid,feature_code,asciiname,ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,longitude,latitude,GEO_PRECISION,t_mil_b,a_rus_b,a_ukr_b,a_rus_init_b,a_ukr_init_b,a_civ_b,a_other_b,t_aad_b,t_airstrike_b,t_airalert_b,t_uav_b,t_armor_b,t_arrest_b,t_artillery_b,t_control_b,t_firefight_b,t_ied_b,t_raid_b,t_occupy_b,t_property_b,t_cyber_b,t_hospital_b,t_milcas_b,t_civcas_b,t_retreat_b,t_loc_b,t_san_b
bert_20250404023629,97159,20240101,1,866715,espreso,698740,PPLA,Odessa,Odessa,1800,Odes'ka,26260,30.731689,46.484213,ADM3,1,1,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
bert_20250404023629,240010,20240101,16,"869460, 869462, 869463, 869465, 872606, 872608, 872611, 872618, 872620, 872625, 872627, 872628, 872631, 872634, 872638, 872643",ria,709717,PPLA,Donetsk,Donets'k,655,Donets'ka,10139,37.80285,48.015884,ADM3,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bert_20250404023629,63410,20240101,2,"869461, 872629",ria,694423,PPLA,Sevastopol,Sevastopol',2215,Lenins'kyi,20221,33.5229142,44.6010512,ADM3,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bert_20250404023629,159446,20240101,1,869464,ria,703448,PPLC,Kyiv,Kiev City,1210,Shevchenkivs'kyi,33738,30.52355,50.450441,ADM3,1,1,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bert_20250404023629,170175,20240101,1,869466,ria,704138,PPL,Kreminna,Luhans'k,1405,Kremins'kyi,18973,38.221114,49.049943,ADM3,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bert_20250404023629,159436,20240101,5,"869467, 869956, 872605, 872615, 872630","ria, interfaxua",703448,PPLC,Kyiv,Kiev City,1210,Shevchenkivs'kyi,33738,30.52355,50.450441,ADM3,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bert_20250404023629,97153,20240101,2,"869909, 869939","espreso, interfaxua",698740,PPLA,Odessa,Odessa,1800,Odes'ka,26260,30.731689,46.484213,ADM3,1,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
bert_20250404023629,174275,20240101,1,869910,espreso,704422,PPLA2,Pokrovsk,Donets'k,655,Krasnoarmiis'kyi,18918,37.175601,48.280351,ADM3,1,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
bert_20250404023629,136046,20240101,1,869911,espreso,702550,PPLA,Lviv,L'viv,1289,L'vivs'ka,19402,24.029898,49.839323,ADM3,1,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,263794,20240101,1,869912,espreso,710771,PPL,Chorna Dolyna,Kherson,1195,Kakhovs'kyi,16943,33.481729,46.55783,ADM1,1,0,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
